"fecha","spi100","spi101","spi102","spi104","spi105","spi107","spi108","spi109","spi110","spi111","spi112","spi113","spi116","spi117","spi118","spi119","spi120","spi121","spi122","spi123","spi124","spi125","spi126","spi200","spi201","spi202","spi203","spi204","spi205","spi206"
"2016-07-01",-0.329022925,0.1669840089,-0.9868203868,-0.4472975796,0.4847679551,-0.315928936,-0.3744496121,0.8134944638,-1.1032457689,1.0126301958,-0.8979328497,0.5816751916,0.3481432801,0.8553664162,-0.5313278519,-0.4553195521,0.7205289213,0.497056569,0.0969489269,-0.1466764113,-1.2696321533,-0.6203224114,-0.1471628561,-0.0761746914,-0.7605182995,-0.3130174805,0.4171819888,0.5561830701,-1.0279772503,1.0513134083
"2016-08-01",-0.1733970523,0.2444577732,-0.0248288282,-0.388110416,0.4552312637,0.2395402089,-0.7805240896,0.7067669123,-0.4558483275,0.9931634242,-0.4979749585,-0.6552024834,0.9632123053,1.0089352532,-0.3448989859,-0.1140882993,0.9508084321,0.6651579995,0.6307857804,0.2757964658,-0.678820229,-0.4349898591,0.3808465581,-0.1041992235,-0.2271126014,-0.0887918002,0.6092712572,0.5673321954,-0.6531450032,1.2628184771
"2016-09-01",-1.6611489905,-1.1917347272,-0.897321564,-1.6711972821,-0.9386902935,-0.843356913,-3.4647356215,-0.6652765155,-1.4174055483,0.7306147785,-1.7876425205,-1.4910277588,0.2575659972,-0.5822121579,-1.690847125,-1.1854925622,0.0075553959,0.363760708,-0.7544572565,-0.6486365151,-1.6919474275,-1.4215048255,-1.1930646767,0.2942890295,-0.2678488194,0.1808216141,-0.4530620832,0.4187321535,-0.8492038376,1.0409080773
"2016-10-01",-0.6865875672,-0.0133403435,-0.4695629121,-0.1581561217,0.157428618,-0.0686314517,-1.4143044847,0.1379049971,-0.2380601782,0.6161675976,-0.5932060136,-0.9498167802,0.0361173126,-0.9452678859,-0.5243096653,-0.5307082751,0.9017049447,1.4668633314,-0.3058806907,-0.3867541485,-0.2126666442,-0.5873355581,-0.767632335,-0.1582935016,0.505369173,0.4226319643,-0.0107303647,0.434721743,0.4169937507,0.7340297344
"2016-11-01",-1.0734695286,0.0368455921,-1.1331167749,-0.8686430567,-0.3347387317,-0.6024071179,-0.6195546079,0.1982502158,-0.9546308449,-0.5636504315,-0.8299564007,-0.2440901305,-1.1843385817,-1.0424473519,-0.9550953969,-0.5668143091,0.0258923942,0.8787821996,-0.4347439216,-0.567821884,-0.6380784986,-0.6978645616,-0.1997619976,-0.8136485689,-0.3382946118,-0.3095230403,-0.8827809715,-0.3540750571,-0.4423267392,-0.0524940906
"2016-12-01",-0.4159741216,0.0105503415,-0.7288014833,-0.3304142135,-0.4497822338,-0.7315486151,-0.2940765227,0.0885298031,-0.4360294633,-0.2145831567,-0.5866245769,-0.0802957186,-0.9627673202,-0.5507965716,-0.3957755759,-0.5606694121,0.0050306836,0.2751134768,-0.2332895475,-0.780613013,-0.0449171256,-0.6219148658,0.0338523209,-0.51695955,0.0136623577,0.0235604376,-0.5674368793,0.0536517584,-0.0001914778,0.2514126126
"2017-01-01",0.0255490789,0.1397279232,-0.1962747982,-0.0335099626,0.734210633,-0.3109055285,0.0201846304,0.3679324307,0.0932508857,1.3767862427,-0.2384106903,0.0972982296,-0.4082522912,0.070259773,0.0257769949,-0.246944001,0.4753131864,1.1489869697,0.5193758817,-0.3158664337,-0.0029831047,-0.2928746546,0.4767766719,0.0744012031,0.1841384435,0.3383231232,-0.4643751846,0.4582544137,-0.1409041406,0.70037399
"2017-02-01",0.0472057523,-0.1331295684,-0.2790791655,0.1878863683,0.404247546,-0.5881031419,-0.2318495063,0.0195962674,0.3178433056,1.0117436274,-0.2046403197,-0.2325651206,-0.521960339,-0.1406917214,0.0441386322,-0.4536483336,0.2152434171,0.681619489,0.2567943128,-0.5708105107,-0.0611887051,-0.5677021962,0.117054294,0.0405037285,0.347999836,0.1585893135,-0.4538415713,0.2385893239,0.0313208172,0.4440740801
"2017-03-01",0.2352014818,0.2984582658,0.3165142357,0.4270708642,0.7248147359,-0.336125939,0.174584784,0.3449807212,0.623207274,1.2849017465,0.0366666754,0.1681084839,0.2093021278,0.0702406667,0.2235256695,-0.0325178365,0.438068737,0.8562838162,0.5079423109,-0.1958269807,0.0369580854,0.022627801,0.3495245319,0.1682905474,0.5638046515,0.2023650276,-0.3892608499,0.2866870181,0.170938791,0.4731595371
"2017-04-01",-0.0583014227,0.105482512,0.1175959757,0.2910265749,0.1516974343,-0.5250816396,0.0081442952,0.0303538075,0.3307469552,0.4456873989,-0.1194998194,0.0446633193,0.1268725556,-0.0908722869,-0.0727213958,-0.1521379979,0.1495263018,0.199672083,0.1716637011,-0.3285309097,-0.0392517272,-0.0079720573,-0.01910608,0.0305233509,0.5353906984,0.0450206913,-0.221156762,0.0839225515,0.199373139,0.1131874119
